dd.p mlr.p mlr.v2.p fisher.p binom.p lr.p dd.fdr mlr.fdr mlr.v2.fdr fisher.fdr binom.fdr lr.fdr mut.E1 mut.E0 E1 E0
ARID1A 0.62115104177184 0.18339727002502 0.322283698581835 0.188356318414477 0.146986972442796 0.188409335516226 0.655659432981387 0.204973419439728 0.340188348503048 0.210515885286769 0.164279557436066 0.238651824987219 27 7 521 253
ARID2 0.0193520320134989 0.00329623570517693 0.00519841176890631 0.00204707147482425 0.00138251963792072 0.0105954141768809 0.0459610760320598 0.00626284783983618 0.00987698236092198 0.00432159533574009 0.00279254869626622 0.0201312869360737 28 2 521 253
BRAF 0.0651735067353375 0.000574105243631265 0.00141587001678266 0.000167983204946471 0.000146908393992394 0.00192378141344973 0.123829662797141 0.00155828566128486 0.00384307575983864 0.000455954413426137 0.000398751355122212 0.00522169240793497 44 4 521 253
CDKN2A 0.60119168964618 0.112146140104547 0.167574353659051 0.0967516564073855 0.101006626293802 0.125614696147574 0.655659432981387 0.133173541374149 0.198994544970123 0.11489259198377 0.11994536872389 0.170477087628851 18 3 521 253
DZIP1L 0.00835290431980285 0.00481174997812269 0.00953647864088173 0.00242152945880879 0.00146976247171907 0.967389948755875 0.0317410364152508 0.00831120450766646 0.0164720994706139 0.00460090597173669 0.00279254869626622 0.974237263587119 17 0 521 253
EGFR 0.00761557098847124 5.01267452070161e-10 4.04507123541782e-10 2.54769557249546e-06 2.44929495839098e-07 2.99713140765778e-09 0.0317410364152508 4.76204079466653e-09 3.84281767364693e-09 1.21015539693534e-05 1.55122014031429e-06 2.84727483727489e-08 69 79 521 253
KCNQ2 0.329835857064755 0.0708488727542857 0.128787689240048 0.0735495841038576 0.0782220797807342 0.0792658091402111 0.522240107019195 0.0897419054887619 0.163131073037394 0.0931628065315529 0.0990813010555966 0.115850028743386 25 5 521 253
KEAP1 0.00393538627926296 1.63316085097399e-08 4.84002207403913e-08 2.04659572667719e-08 3.62056393294601e-09 1.50628018465325e-06 0.0249241131019988 7.75751404212644e-08 2.29901048516859e-07 1.94426594034333e-07 3.43953573629871e-08 7.15483087710294e-06 85 6 521 253
KRAS 1.10576712786995e-05 2.46189041682721e-15 4.09586049791071e-16 2.71685067422337e-12 1.62378682991738e-14 3.05896389404163e-12 0.00021009575429529 4.6775917919717e-14 7.78213494603035e-15 5.16201628102441e-11 3.08519497684302e-13 5.8120313986791e-11 168 16 521 253
LCE1F 0.017310181991541 0.026557200114813 0.0432597922579573 0.0354652208419993 0.0366475601956689 0.974237263587119 0.0459610760320598 0.0420489001817873 0.0645557966518602 0.0518337843075374 0.0535618187475161 0.974237263587119 10 0 521 253
MGA 0.136582903923566 0.00241723990943 0.00263616592497925 0.00344918064024537 0.00188593135606358 0.00473876581798386 0.235915924958887 0.00510306203101889 0.00626089407182573 0.00595767565133292 0.0032575177968371 0.0100040611712993 42 6 521 253
NF1 0.000405956124151005 1.26595533089159e-05 2.0721837513148e-05 1.21420378587175e-06 4.53221676999656e-07 0.000276728093610317 0.00385658317943455 4.81063025738805e-05 7.87429825499623e-05 7.68995731052109e-06 2.15280296574837e-06 0.0010515667557192 56 3 521 253
NFE2L2 0.676054348165039 0.616211010610196 0.72813168237057 1 1 0.616885957388705 0.676054348165039 0.616211010610196 0.72813168237057 1 1 0.689460775905023 11 5 521 253
PTPRU 0.603725390403867 0.0533774013431033 0.0804943872328601 0.0655616093408085 0.068147626853209 0.0665389447639815 0.655659432981387 0.0724407589656402 0.109242382673167 0.0889764698196687 0.0924860650150693 0.105353329209637 19 3 521 253
RB1 0.411326741873537 0.221319684205324 0.247801204469679 0.248456231754332 0.257787316528443 0.225729717560819 0.5860709993212 0.233615222216731 0.276954287348464 0.262259355740684 0.272108834113356 0.268054039603473 25 7 521 253
SETD2 0.572108364609551 0.0439370851496833 0.0441697556039043 0.0185816521686408 0.0201613231744611 0.0536464020188651 0.655659432981387 0.0642157398341525 0.0645557966518602 0.0294209492670146 0.03192209502623 0.0926619671234943 27 4 521 253
SMARCA4 0.431841788973515 0.00241723990943 0.00465823566769885 0.00101656417244786 0.000858397918977165 0.00473876581798383 0.5860709993212 0.00510306203101889 0.00983405307625314 0.00241433990956366 0.00203869505757077 0.0100040611712993 42 5 521 253
STK11 0.010778036027497 9.07607660447326e-05 5.76740205003295e-05 8.33470906376702e-06 4.70208008478219e-06 0.000822893415095656 0.0341304474204073 0.000287409092474986 0.000182634398251043 3.16718944423147e-05 1.48899202684769e-05 0.00260582914780291 49 3 521 253
TP53 0.0278905827472235 3.71944719151658e-09 8.1871867213645e-09 0.00010560874135899 4.24755111704625e-06 8.91402843640232e-09 0.0588801191330274 2.3556498879605e-08 5.18521825686418e-08 0.000334427680970136 1.48899202684769e-05 5.6455513430548e-08 267 72 521 253
