dd.p mlr.p mlr.v2.p fisher.p binom.p lr.p dd.fdr mlr.fdr mlr.v2.fdr fisher.fdr binom.fdr lr.fdr mut.E1 mut.E0 E1 E0
ARID1A 0.00950276451476269 0.0110136714865859 0.0145271883540336 0.0139484732480646 0.0145641044370073 0.0162972299392775 0.0176252361015034 0.019023614385921 0.0276016578726637 0.0265020991713227 0.0230598320252616 0.0309647368846273 5 20 311 383
ARID2 0.114023062460426 0.066436815693494 0.0703701413826947 0.0612432196499763 0.0636927082818202 0.0741642585031868 0.154745584767721 0.0841532998784258 0.0955023347336571 0.07757474488997 0.0806774304903055 0.0939413941040366 6 18 311 383
BRAF 0.0295748834483576 0.021009405162373 0.0360965126018747 0.0134901992323306 0.0100123700647624 0.0254048581505443 0.0468268987932328 0.0332648915070905 0.0571528116196349 0.0265020991713227 0.0184536565623303 0.0402243587383618 8 27 311 383
CDKN2A 0.26722865935549 0.420608288952379 0.465829465777075 0.403778535498804 0.407269218477083 0.424352554696515 0.317334032984644 0.470091617064423 0.491708880542468 0.47948701090483 0.483632196941536 0.474276384660811 4 9 311 383
DZIP1L 0.246682325772703 0.304706736415746 0.338489061876421 0.593487209309953 0.596554393927292 0.311212838076899 0.312464279312091 0.361839249493699 0.40195576097825 0.663309233934653 0.666737263801091 0.369565245216317 5 9 311 383
EGFR 5.19868507953386e-11 7.02776355841082e-10 8.19534901733784e-10 1.02688632863957e-08 3.55473218418014e-10 5.50024757322222e-09 4.93875082555717e-10 8.05077716049774e-09 7.78558156647095e-09 1.95108402441517e-07 6.75399114994227e-09 5.22523519456111e-08 99 40 311 383
KCNQ2 1 0.0441906892807923 0.0895211118700317 0.0507446285421379 0.0371895597379604 0.0504377842682478 1 0.0599730783096468 0.113393408368707 0.06886771016433 0.0504715453586606 0.0737167616228237 7 21 311 383
KEAP1 3.36843894401219e-11 8.39446495076234e-08 3.12707212032429e-07 5.39654160617031e-07 1.01024845270829e-07 9.97047098884758e-07 4.93875082555717e-10 5.31649446881615e-07 1.98047900953872e-06 3.41780968390786e-06 6.39824020048586e-07 6.31463162627013e-06 12 64 311 383
KRAS 3.59109954769203e-10 8.47450227420815e-10 3.21970589319421e-10 2.45023585628805e-07 1.23785104907345e-08 4.6648393805259e-09 2.27436304687162e-09 8.05077716049774e-09 6.11744119706901e-09 2.32772406347365e-06 1.17595849661978e-07 5.22523519456111e-08 36 122 311 383
LCE1F 0.0504857011303438 0.025760783338291 0.0430660232184232 0.0488168550812233 0.028248367579637 0.0572322627426325 0.0737867939597332 0.0376503756482715 0.0629426493192339 0.06886771016433 0.0412860756933157 0.0776723565792869 1 9 311 383
MGA 0.000571293289759642 0.00110705495054472 0.000827330646061717 0.00110651517410124 0.000876786410425052 0.00221882597979366 0.00155065321506189 0.0030048634371928 0.00259118364250735 0.00300339832970336 0.00237984882829657 0.00602252765943993 8 34 311 383
NF1 6.24984000477924e-06 6.78930259319262e-05 0.000124128343290473 0.000107782592238644 5.84057319164199e-05 0.000233598794629028 2.96867400227014e-05 0.000322491873176649 0.000589609630629744 0.000480211640432766 0.000221941781282396 0.00110959427448788 9 42 311 383
NFE2L2 1 0.489918261572149 0.4626335973908 0.797171547843393 0.799058606661951 0.491765145995032 1 0.517135942770602 0.491708880542468 0.797171547843393 0.799058606661951 0.519085431883644 6 9 311 383
PTPRU 0.0102040840587651 0.00985085032201556 0.0179440349437141 0.0168602434865502 0.010683695904507 0.0180605412260885 0.0176252361015034 0.0187166156118296 0.0309942421755063 0.0291222387494959 0.0184536565623303 0.0311954802996074 3 16 311 383
RB1 0.704972346261977 0.61965037281013 0.534535432916543 0.667800548525083 0.671765721731298 0.619662189168015 0.787910269351621 0.61965037281013 0.534535432916543 0.704900578998698 0.709086039605259 0.619662189168015 11 11 311 383
SETD2 0.00166987835566455 0.00313162706634527 0.00330621581035995 0.000852481138526948 0.000569839066581353 0.00672345790472505 0.00396596109470331 0.00743761428257003 0.00785226254960487 0.00269952360533533 0.00180449037750762 0.015968212523722 4 25 311 383
SMARCA4 1.7011020877266e-05 0.000205533575009128 0.000507336274250733 0.000126371484324412 5.65409546236042e-05 0.000686536767048338 6.46418793336106e-05 0.000781027585034688 0.00192787784215278 0.000480211640432766 0.000221941781282396 0.00217403309565307 6 35 311 383
STK11 0.00365554304069289 0.00750466059941209 0.0060043075213696 0.00598260212175549 0.0045159874532906 0.0106980998790559 0.00771725753035166 0.0158431723765366 0.0126757603228914 0.0142086800391693 0.0107254702015652 0.0225848775224514 8 29 311 383
TP53 0.000174925732567549 0.000601077572019639 0.000954646605134287 0.022874631093652 0.00727166078389307 0.00064948434887798 0.000553931486463905 0.00190341231139552 0.00259118364250735 0.0362181658982823 0.0153512838771076 0.00217403309565307 105 180 311 383
