dd.p mlr.p mlr.v2.p fisher.p binom.p lr.p dd.fdr mlr.fdr mlr.v2.fdr fisher.fdr binom.fdr lr.fdr mut.E1 mut.E0 E1 E0
ARID1A 0.255747791891044 0.635325985926718 0.607702989072325 0.784773212915812 0.791932392414985 0.635608831857502 0.694172577989977 0.694284401460454 0.87063346779823 0.931918190337527 0.940419715992794 0.833901532403754 26 3 393 68
ARID2 1 0.133730078982871 0.762659575112011 0.153071167980619 0.164236598675827 0.165970253887135 1 0.317608937584319 0.879452198461549 0.363544023953971 0.390061921855088 0.431828503955484 25 1 393 68
BRAF 0.214038928670432 0.00927160583701367 0.119141252097782 0.00558099199200772 0.00287405207887215 0.980752057190728 0.6777899407897 0.0587201703010866 0.452736757971573 0.0530194239240734 0.0273034947492854 0.98520233574366 39 0 393 68
CDKN2A 0.0356147885954948 0.560954960291097 0.243608725941564 0.717753563420022 0.720436820900876 0.562196883567931 0.338340491657201 0.694284401460454 0.536772891340214 0.909154513665361 0.912553306474443 0.833901532403754 13 3 393 68
DZIP1L 0.706496961131533 0.163302670901595 0.333025977770671 0.378692222741188 0.386480534224222 0.983635017404913 1 0.317879017635316 0.575226688876614 0.654104748371143 0.667557286387293 0.98520233574366 11 0 393 68
EGFR 0.00192604218717742 0.201309922226031 0.114145431897607 0.420898063261346 0.435689021072898 0.204550343978914 0.0365948015563709 0.329996664387526 0.452736757971573 0.666421933497132 0.689840950032088 0.431828503955484 43 10 393 68
KCNQ2 1 0.167304746123851 0.973345076553416 0.227133756026161 0.238552390410586 0.197369617411942 1 0.317879017635316 0.973345076553416 0.479504596055229 0.503610601977904 0.431828503955484 22 1 393 68
KEAP1 1 0.0132936698519765 0.0624895923666711 0.0273083940915458 0.0210131979373471 0.0194180386518065 1 0.0631449317968885 0.39576741832225 0.129714871934843 0.0962574584547668 0.122980911461441 71 4 393 68
KRAS 0.913635173071584 0.000122030202191416 1.39188703142328e-05 0.00160610525604635 0.000487659255978777 0.000339068265591117 1 0.0023185738416369 0.000264458535970423 0.0305159998648806 0.00926552586359677 0.00644229704623122 143 8 393 68
LCE1F 0.761121697171273 0.208418945928964 0.641519397325011 0.369589007971106 0.373367967547655 0.98520233574366 1 0.329996664387526 0.87063346779823 0.654104748371143 0.667557286387293 0.98520233574366 9 0 393 68
MGA 0.167710967281414 0.610871279251836 0.763017984749037 1 1 0.61100691945917 0.637301675669372 0.694284401460454 0.879452198461549 1 1 0.833901532403754 33 5 393 68
NF1 1 0.0198268410452087 0.330644721383448 0.0190491847304783 0.0162060960441902 0.0471295985815575 1 0.0753419959717931 0.575226688876614 0.120644836626363 0.0962574584547668 0.223865593262398 42 1 393 68
NFE2L2 0.104096481962591 0.636882614539937 0.786878282834017 0.648685743432577 0.649221786279755 0.6379204712959 0.580876443764375 0.694284401460454 0.879452198461549 0.880359223229926 0.881086709951096 0.833901532403754 8 2 393 68
PTPRU 1 0.657743117173061 0.233683405471233 1 1 0.658343315055595 1 0.694284401460454 0.536772891340214 1 1 0.833901532403754 16 2 393 68
RB1 1 0.294430769408189 0.254260843266417 0.491766801220784 0.501906217949597 0.314626220345331 1 0.430321893750431 0.536772891340214 0.718736094091914 0.733555241618642 0.597789818656129 17 1 393 68
SETD2 0.122289777634605 0.880281874785514 0.954716185017636 1 1 0.880002591962168 0.580876443764375 0.880281874785514 0.973345076553416 1 1 0.98520233574366 23 3 393 68
SMARCA4 0.678169331189189 0.0390839716629715 0.175702531973234 0.0462319684869416 0.0360070447485196 0.07096804858546 1 0.123765910266077 0.536772891340214 0.175681480250378 0.114022308370312 0.269678584624748 37 1 393 68
STK11 1 0.0950206386325205 0.0516460371700726 0.0674592476850241 0.0555790705203636 0.113085049344589 1 0.257913162002556 0.39576741832225 0.193519011894383 0.150857477126701 0.358102656257865 42 2 393 68
TP53 1 0.00592222999282712 0.432448139765756 0.0712964780663518 0.0253309101196755 0.00679452062910699 1 0.0562611849318576 0.684709554629114 0.193519011894383 0.0962574584547668 0.0645479459765164 207 22 393 68
