gene	dd.p	dd.fdr	alpha_e	direction	mut.E1	mut.E0	E1	E0
FAT1	2.13520797060458e-21	8.96787347653925e-20	5.10262832228847	hypermutator	212	40	74	438
POLE	1.9675471184127e-18	4.13184894866668e-17	6.02047950316375	hypermutator	125	20	74	438
ZFHX3	1.91237055338842e-15	2.67731877474379e-14	5.08387480918422	hypermutator	167	39	74	438
ATM	1.16780638665404e-12	1.22619670598674e-11	3.72050113427062	hypermutator	141	31	74	438
DICER1	3.97649863292996e-11	3.34025885166116e-10	5.30988965753446	hypermutator	84	21	74	438
RB1	1.38605441422446e-10	9.70238089957124e-10	4.32964529113139	hypermutator	66	13	74	438
MGA	1.65002326131397e-10	9.90013956788383e-10	3.47008953426106	hypermutator	109	27	74	438
EP300	1.04536656383424e-07	5.48817446012974e-07	4.20546709838183	hypermutator	84	19	74	438
RAB3GAP1	2.39162292163271e-07	1.03271528455698e-06	3.35931279488394	hypermutator	52	11	74	438
DEPDC1B	2.45884591561185e-07	1.03271528455698e-06	4.9874698553488	hypermutator	25	2	74	438
NFASC	2.94565740699057e-06	1.1247055553964e-05	4.4971195701125	hypermutator	58	20	74	438
TP53	5.28027011450034e-06	1.84809454007512e-05	-3.9684313860287	low-burden	36	149	74	438
KRAS	5.96069531216543e-06	1.92576310085345e-05	-3.40966455209597	low-burden	21	78	74	438
CTNNB1	6.8718887976362e-06	2.06156663929086e-05	-2.67370070289544	low-burden	46	105	74	438
CSDE1	7.82752389540356e-06	2.191706690713e-05	2.84643478470022	hypermutator	47	12	74	438
ATF7IP	1.1815232771062e-05	3.10149860240377e-05	2.78320284780034	hypermutator	49	8	74	438
SIN3A	2.24365659195469e-05	5.54315158012335e-05	2.75426770618475	hypermutator	53	16	74	438
ST5	2.86578982852144e-05	6.65230120027001e-05	2.60784718643732	hypermutator	56	12	74	438
POLD1	3.0093743525031e-05	6.65230120027001e-05	2.07080277376575	hypermutator	39	12	74	438
INPPL1	0.000788759624394271	0.00165639521122797	1.97282483269914	hypermutator	48	20	74	438
TFDP1	0.00102921535353702	0.00196658273769425	2.84924363347455	hypermutator	33	11	74	438
NAA30	0.00105063713306879	0.00196658273769425	3.53732639886022	hypermutator	18	4	74	438
LZTR1	0.00107693816588019	0.00196658273769425	3.30406638822548	hypermutator	34	14	74	438
SLC30A9	0.00195579405142954	0.00342263959000169	2.6924650759884	hypermutator	25	6	74	438
MME	0.00440978093232687	0.00740843196630914	2.0154719913251	hypermutator	32	8	74	438
CHD4	0.00858537650092011	0.0138686851168709	2.65672098488777	hypermutator	95	62	74	438
PIK3CA	0.0259741859101443	0.0404042891935578	-2.32284823056675	low-burden	121	235	74	438
PIK3R1	0.0693220826810305	0.103983124021546	1.12722878202017	hypermutator	57	45	74	438
CTCF	0.084261017935346	0.122033198389122	1.54791937574352	hypermutator	51	51	74	438
CDK17	0.0955869582098808	0.133821741493833	1.26200855095359	hypermutator	20	9	74	438
PPP2R1A	0.122524217620235	0.166000552904835	-1.18645982623593	low-burden	32	66	74	438
CCND1	0.167532210755034	0.219886026615983	-1.08146194343443	low-burden	11	22	74	438
FERD3L	0.303732269503439	0.37317131976903	1.18945063961334	hypermutator	10	6	74	438
SPOP	0.304123696479051	0.37317131976903	-0.706318611358363	low-burden	23	34	74	438
FBXW7	0.310976099807525	0.37317131976903	1.49209567749344	hypermutator	55	51	74	438
MAX	0.361477999842832	0.421724333149971	1.30868763698357	hypermutator	13	9	74	438
NFE2L2	0.433751659604729	0.492366748740503	-0.466830378172387	low-burden	19	26	74	438
LYPLA2	0.454937875617004	0.502826073050373	0.682618712563494	hypermutator	9	5	74	438
ARID1A	0.565847097949567	0.594207449961427	1.34663112591783	hypermutator	102	84	74	438
PTEN	0.565911857106121	0.594207449961427	-1.25350337430784	low-burden	137	251	74	438
FGFR2	0.676921600501766	0.693431883440833	-0.242852129454924	low-burden	45	46	74	438
NRAS	0.880265163710795	0.880265163710795	-0.192133557304515	low-burden	11	10	74	438
