gene	phenotype	dd.p	dd.fdr	direction	n_tumor_types	tumors	n_samples	n_mutated	mut_freq	mut.E1	mut.E0	E1	E0	alpha_e	cohort
AXIN1	C1	0.00182653542354343	0.355254172280768	up_in_subtype	11	BLCA,BRCA,COADREAD,GBM,HNSC,KIRP,LIHC,LUSC,OV,STAD,UCEC	4442	69	0.0155	33	36	1636	2806	1.43714665107	c073
HRAS	C1	0.00501447795788019	0.355254172280768	up_in_rest	5	BLCA,HNSC,LUSC,PCPG,THCA	1983	89	0.0449	8	81	549	1434	-1.39768817323745	c186
KRAS	C1	0.00896883626697751	0.355254172280768	up_in_subtype	14	BLCA,BRCA,CESC,COADREAD,KIRP,LIHC,LUAD,LUSC,OV,PAAD,STAD,TGCT,UCEC,UCS	4835	621	0.1284	319	302	1754	3081	0.597069652005477	c057
CASP8	C1	0.0109049354825272	0.355254172280768	up_in_rest	8	BLCA,BRCA,CESC,HNSC,LUAD,LUSC,STAD,UCEC	3784	124	0.0328	25	99	1345	2439	-0.754963672706169	c102
HLA-A	C1	0.0113552115752376	0.355254172280768	up_in_rest	4	CESC,HNSC,LUSC,STAD	1547	37	0.0239	5	32	566	981	-1.72108883256684	c210
PDGFRA	C1	0.0119464440165903	0.355254172280768	up_in_subtype	13	BLCA,BRCA,COADREAD,GBM,HNSC,KIRC,LGG,LIHC,LUAD,LUSC,OV,STAD,UCEC	5452	126	0.0231	50	76	1707	3745	0.971651577386054	c034
SMARCA4	C1	0.0134174637739467	0.355254172280768	up_in_subtype	15	BLCA,BRCA,CESC,COADREAD,ESCA,GBM,HNSC,KIRC,KIRP,LGG,LIHC,LUAD,LUSC,STAD,UCEC	5987	222	0.0371	86	136	1824	4163	0.65634895535699	c020
KEAP1	C1	0.0148598069386875	0.355254172280768	up_in_subtype	6	BLCA,HNSC,LIHC,LUAD,LUSC,UCEC	2519	160	0.0635	63	97	840	1679	0.961968685909156	c170
PLCB4	C1	0.0161607967188761	0.355254172280768	up_in_subtype	9	BLCA,BRCA,COADREAD,HNSC,LIHC,LUAD,LUSC,OV,PRAD	4111	95	0.0231	41	54	1412	2699	1.05133906212468	c088
SOS1	C1	0.0173831011742972	0.355254172280768	up_in_subtype	9	BLCA,CESC,COADREAD,HNSC,KIRC,LIHC,LUAD,LUSC,UCEC	3601	87	0.0242	45	42	1291	2310	1.04797197496301	c109
MSH2	C1	0.0180321340953587	0.355254172280768	up_in_rest	3	BLCA,BRCA,LUAD	1801	22	0.0122	3	19	576	1225	-2.28937281622851	c192
TET2	C1	0.0193775003062237	0.355254172280768	up_in_subtype	10	BLCA,BRCA,CESC,COADREAD,HNSC,LUAD,LUSC,SARC,STAD,UCEC	4443	67	0.0151	36	31	1783	2660	0.878409713460899	c078
CUL3	C1	0.0289797705925848	0.490426886951435	up_in_subtype	8	BLCA,COADREAD,HNSC,KIRP,LUAD,LUSC,PRAD,UCEC	3301	78	0.0236	38	40	1231	2070	0.904155854860546	c132
RAD21	C1	0.039821147695934	0.569642552373813	up_in_subtype	5	BLCA,CESC,COADREAD,LUAD,LUSC	1978	38	0.0192	18	20	937	1041	2.15904252042161	c187
DNMT3A	C1	0.0416518571460294	0.569642552373813	up_in_subtype	9	BLCA,BRCA,HNSC,KIRP,LGG,LIHC,LUAD,LUSC,UCEC	4290	82	0.0191	23	59	1183	3107	1.16829657427748	c084
HLA-B	C1	0.0425273069960446	0.569642552373813	up_in_rest	7	CESC,COADREAD,ESCA,HNSC,LUSC,STAD,UCEC	2612	53	0.0203	14	39	1215	1397	-0.778479550606	c164
ASXL1	C1	0.0446184194573039	0.569642552373813	up_in_rest	10	BLCA,BRCA,COADREAD,ESCA,HNSC,KIRC,LUAD,LUSC,STAD,UCEC	4498	118	0.0262	39	79	1728	2770	-0.627040894628968	c070
MAP2K4	C1	0.0478491240080284	0.569642552373813	up_in_rest	4	BRCA,COADREAD,LUAD,UCEC	2308	50	0.0217	16	34	987	1321	-1.27713729593004	c173
IL7R	C1	0.0491964022504657	0.569642552373813	up_in_subtype	7	BLCA,BRCA,COADREAD,HNSC,LUAD,LUSC,STAD	3538	62	0.0175	34	28	1449	2089	0.960978154698801	c113
ZNF750	C1	0.0687146985339107	0.753582409549365	up_in_rest	4	BLCA,ESCA,HNSC,LUSC	1494	40	0.0268	11	29	617	877	-1.00341007395293	c212
MECOM	C1	0.0741734370154204	0.753582409549365	up_in_subtype	8	BLCA,BRCA,HNSC,LIHC,LUAD,LUSC,OV,UCEC	3687	77	0.0209	37	40	1205	2482	0.789899700256666	c103
PPP2R1A	C1	0.0767487203777543	0.753582409549365	up_in_rest	5	CESC,LUAD,LUSC,UCEC,UCS	1595	96	0.0602	32	64	617	978	-0.92602008967871	c208
PBRM1	C1	0.0830157478694194	0.753582409549365	up_in_rest	13	BLCA,BRCA,CESC,CHOL,COADREAD,HNSC,KIRC,KIRP,LIHC,LUAD,LUSC,STAD,UCEC	5242	170	0.0324	29	141	1759	3483	-0.538963339766729	c044
CHD3	C1	0.0832580647847708	0.753582409549365	up_in_rest	9	BLCA,BRCA,CESC,ESCA,HNSC,LUAD,LUSC,STAD,UCEC	3954	96	0.0243	30	66	1415	2539	-0.561438795336666	c096
MAP3K1	C1	0.0868896616694421	0.753582409549365	up_in_subtype	7	BLCA,BRCA,COADREAD,GBM,LUAD,LUSC,UCEC	3246	95	0.0293	50	45	1413	1833	0.546814302086149	c133
FBXW7	C1	0.0890597393103795	0.753582409549365	up_in_subtype	12	BLCA,BRCA,CESC,COADREAD,ESCA,HNSC,LUAD,LUSC,OV,STAD,UCEC,UCS	4611	267	0.0579	148	119	1837	2774	0.4343681877288	c063
EZH2	C1	0.0958428016252923	0.767306766652519	up_in_rest	4	BLCA,LUAD,LUSC,UCEC	1686	22	0.013	5	17	695	991	-1.25316528703921	c204
MLH1	C1	0.101730703636934	0.767306766652519	up_in_rest	7	BLCA,CESC,COADREAD,LUAD,LUSC,STAD,UCEC	2756	44	0.016	15	29	1258	1498	-0.987152605223644	c158
RASA1	C1	0.102655308706022	0.767306766652519	up_in_subtype	8	BLCA,BRCA,HNSC,LIHC,LUAD,LUSC,STAD,UCEC	3859	83	0.0215	31	52	1298	2561	0.819034136604801	c101
IDH1	C1	0.10876467344409	0.767306766652519	up_in_rest	8	BLCA,BRCA,CHOL,COADREAD,GBM,LGG,LIHC,LUAD	3249	434	0.1336	7	427	983	2266	-0.991183513150217	c134
RUNX1	C1	0.114452279770451	0.767306766652519	up_in_subtype	2	BLCA,BRCA	1386	27	0.0195	14	13	508	878	0.999517046118719	c217
