gene	n_tumor_types	tumor_types	total_samples	samples_with_mut
TP53	16	HNSC(331); BRCA(227); BLCA(191); LUAD(187); ESCA(141); LUSC(124); LIHC(86); PAAD(55); SARC(54); UCEC(53); GBM(47); UCS(46); PRAD(40); KICH(25); CESC(6); KIRC(6)	4670	1619
PIK3CA	10	BRCA(318); UCEC(135); BLCA(88); HNSC(85); CESC(51); LUSC(24); UCS(20); ESCA(17); GBM(9); PRAD(7)	3121	754
KRAS	10	LUAD(131); PAAD(76); UCEC(44); TGCT(17); BLCA(13); CESC(11); UCS(7); LIHC(6); BRCA(5); KIRP(5)	3045	315
PTEN	10	UCEC(127); GBM(33); BLCA(13); BRCA(13); LUSC(13); CESC(12); HNSC(10); UCS(10); KIRC(7); PRAD(5)	3361	243
ARID1A	7	BLCA(87); UCEC(44); LUAD(23); BRCA(15); LIHC(14); CESC(6); ESCA(6)	2646	195
CDKN2A	7	HNSC(80); BLCA(23); LUSC(21); LUAD(14); PAAD(14); ESCA(9); LIHC(8)	2062	169
CTNNB1	3	LIHC(91); UCEC(68); PRAD(7)	967	166
RB1	9	BLCA(52); BRCA(14); HNSC(13); LUAD(11); SARC(11); LIHC(10); LUSC(9); UCEC(9); GBM(6)	3295	135
NFE2L2	8	LUSC(27); HNSC(24); BLCA(22); ESCA(16); UCEC(13); LIHC(11); LUAD(11); CESC(8)	2366	132
VHL	1	KIRC(131)	411	131
FBXW7	6	BLCA(30); UCEC(25); HNSC(23); UCS(21); CESC(17); BRCA(9)	2246	125
EP300	4	BLCA(62); HNSC(33); CESC(18); UCEC(9)	1262	122
KEAP1	4	LUAD(63); HNSC(22); LUSC(18); LIHC(14)	1416	117
FAT1	2	HNSC(80); UCEC(27)	706	107
EGFR	2	GBM(54); LUAD(43)	559	97
PBRM1	1	KIRC(74)	411	74
SMARCA4	4	LUAD(32); HNSC(19); ESCA(9); KIRP(9)	1343	69
CTCF	4	UCEC(28); BLCA(14); BRCA(14); HNSC(12)	2012	68
NOTCH1	1	HNSC(68)	483	68
ERBB2	3	BLCA(44); BRCA(15); CESC(8)	1486	67
CASP8	3	HNSC(45); BLCA(11); CESC(7)	1039	63
SPOP	3	PRAD(41); UCEC(16); UCS(5)	674	62
