gene	phenotype	cohort	tumors	dd.p	alpha_e	mut.E1	mut.E0	E1	E0	dd.fdr	direction
CASP8	C1	cohort12	BLCA,CESC,HNSC	0.00352872217588053	-1.69324025138243	9	54	332	706	0.0781612971031603	up_in_rest
HRAS	C1	cohort15	BLCA,HNSC	0.00372196652872192	-1.37746769139252	5	42	286	572	0.0781612971031603	up_in_rest
KEAP1	C1	cohort28	HNSC,LIHC,LUAD,LUSC	0.00639257478544114	2.13085183595837	39	75	299	1092	0.089496046996176	up_in_subtype
BAP1	C1	cohort16	BLCA,KIRC,LIHC	0.0179097422808261	1.58465740965347	13	26	190	941	0.156739398245767	up_in_subtype
CDKN2A	C1	cohort14	BLCA,ESCA,HNSC,LIHC,LUAD,LUSC,PAAD	0.0186594521721151	-0.921601505113854	40	129	573	1463	0.156739398245767	up_in_rest
CTNNB1	C1	cohort33	LIHC,PRAD,UCEC	0.0323085345202965	0.914057449960044	51	115	161	802	0.20150397052034	up_in_subtype
TGFBR2	C1	cohort24	ESCA,HNSC,PAAD	0.0335839950867233	-1.24980556773079	7	29	232	519	0.20150397052034	up_in_rest
FAT1	C1	cohort29	HNSC,UCEC	0.0643468970240615	-1.33643434330208	28	79	229	476	0.303955817304461	up_in_rest
SETD2	C1	cohort30	KIRC,LUAD	0.0655181856446193	-1.76942054570792	2	48	77	736	0.303955817304461	up_in_rest
SMARCA4	C1	cohort23	ESCA,HNSC,KIRP,LUAD	0.0723704326915383	1.00774173521958	24	45	267	1054	0.303955817304461	up_in_subtype
NFE2L2	C1	cohort11	BLCA,CESC,ESCA,HNSC,LIHC,LUAD,LUSC,UCEC	0.0846653228395401	0.543421424203151	58	74	686	1654	0.32207053470276	up_in_subtype
PPP2R1A	C1	cohort36	UCEC,UCS	0.092020152772217	-0.974037408882235	11	16	128	122	0.32207053470276	up_in_rest
PTEN	C1	cohort06	BLCA,BRCA,CESC,GBM,HNSC,KIRC,LUSC,PRAD,UCEC,UCS	0.117222868145955	0.517958666852363	96	133	902	2386	0.368042190330312	up_in_subtype
CUL3	C1	cohort27	HNSC,KIRP	0.122680730110104	1.55132250663866	8	16	125	624	0.368042190330312	up_in_subtype
FBXW7	C1	cohort07	BLCA,BRCA,CESC,HNSC,UCEC,UCS	0.19086593706995	0.448203874623019	58	63	778	1440	0.53442462379586	up_in_subtype
PIK3R1	C1	cohort26	GBM,UCEC	0.229171739702325	1.0895909948207	17	11	109	214	0.601575816718603	up_in_subtype
ZNF750	C1	cohort15	BLCA,HNSC	0.272512836136461	-0.780803978986395	6	23	286	572	0.670735924405335	up_in_rest
CTCF	C1	cohort10	BLCA,BRCA,HNSC,UCEC	0.287458253316572	0.631857579748843	31	37	711	1300	0.670735924405335	up_in_subtype
ERBB2	C1	cohort02	BLCA,BRCA,CESC	0.361787170128675	-0.420105026693193	27	40	528	958	0.784654549814421	up_in_rest
TP53	C1	cohort03	BLCA,BRCA,CESC,ESCA,GBM,HNSC,KICH,KIRC,LIHC,LUAD,LUSC,PAAD,PRAD,SARC,UCEC,UCS	0.392057450938434	-0.216743762564716	506	1072	1167	3407	0.784654549814421	up_in_rest
