sampleId	mutationCount
TCGA-AJ-A6NU-01	42
TCGA-BS-A0TJ-01	701
TCGA-AJ-A3QS-01	228
TCGA-AX-A2HG-01	861
TCGA-FI-A2EY-01	95
TCGA-D1-A17R-01	253
TCGA-D1-A1NZ-01	716
TCGA-A5-A0GX-01	32
TCGA-BG-A0MQ-01	603
TCGA-BG-A2L7-01	618
TCGA-B5-A1MZ-01	52
TCGA-AX-A2H7-01	84
TCGA-FI-A2EU-01	57
TCGA-EO-A2CG-01	35
TCGA-KP-A3VZ-01	76
TCGA-AJ-A23M-01	105
TCGA-A5-A0VO-01	63
TCGA-D1-A17N-01	28
TCGA-EY-A2OM-01	621
TCGA-D1-A15X-01	1508
TCGA-5S-A9Q8-01	50
TCGA-D1-A16S-01	54
TCGA-B5-A11W-01	73
TCGA-AX-A05T-01	45
TCGA-AX-A05S-01	494
TCGA-BG-A186-01	30
TCGA-AJ-A3NG-01	75
TCGA-BG-A0LX-01	448
TCGA-EY-A1GH-01	56
TCGA-BS-A0VI-01	308
TCGA-A5-A1OK-01	65
TCGA-EO-A3B0-01	10915
TCGA-PG-A6IB-01	433
TCGA-AX-A06L-01	40
TCGA-BG-A0W1-01	66
TCGA-PG-A915-01	73
TCGA-AX-A2H2-01	185
TCGA-EY-A3L3-01	53
TCGA-A5-A3LO-01	30
TCGA-AJ-A3EL-01	7385
TCGA-EO-A22S-01	632
TCGA-AJ-A3BI-01	40
TCGA-B5-A11E-01	9040
TCGA-EO-A3KU-01	54
TCGA-D1-A17Q-01	5948
TCGA-AP-A1DO-01	546
TCGA-BK-A26L-01	74
TCGA-SL-A6J9-01	48
TCGA-D1-A177-01	804
TCGA-DI-A1NN-01	47
TCGA-SJ-A6ZI-01	1306
TCGA-AP-A3K1-01	0
TCGA-AX-A3G6-01	55
TCGA-EO-A22U-01	13822
TCGA-D1-A17B-01	286
TCGA-D1-A174-01	803
TCGA-DF-A2L0-01	44
TCGA-A5-A0VQ-01	366
TCGA-AP-A05A-01	67
TCGA-B5-A0K4-01	49
TCGA-D1-A0ZZ-01	63
TCGA-AX-A0IS-01	49
TCGA-BK-A13C-01	44
TCGA-A5-A0RA-01	76
TCGA-AX-A1CF-01	92
TCGA-D1-A15W-01	66
TCGA-A5-A1OH-01	112
TCGA-BG-A0VZ-01	332
TCGA-B5-A11J-01	436
TCGA-AX-A1C8-01	70
TCGA-AX-A05Y-01	184
TCGA-DF-A2KR-01	93
TCGA-EY-A1GE-01	41
TCGA-B5-A11Q-01	42
TCGA-D1-A17S-01	47
TCGA-BG-A0VV-01	42
TCGA-B5-A121-01	31
TCGA-EY-A1GQ-01	454
TCGA-EY-A1GR-01	42
TCGA-PG-A5BC-01	42
TCGA-D1-A165-01	63
TCGA-BS-A0U7-01	185
TCGA-2E-A9G8-01	65
TCGA-A5-A0GE-01	31
TCGA-FI-A2F9-01	45
TCGA-AX-A05U-01	27
TCGA-EY-A1GW-01	55
